Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
10A7G	0.0	0.8511844208690598	0.4473982575486335	0.6115479257607916	0.5135452322738386	0.26805211374733173	0.820067789681661	0.8275874317694746	0.8711688311688311	0.8978010817449633	0.9006578947368421	0.7977162299435789	0.8954914825200471	0.9667220295517327	0.4806467891385808	0.7142205496635876	0.9012152021302348	0.8754989213228239	0.9035077737894508	0.7886765959580764	0.8695755229423036	0.961578807824874	0.8734284068564164	0.5565527579075195
11C0	0.8511844208690598	0.0	0.8331277067176956	0.9241100048766856	0.804529384078197	0.8460580297563146	0.9015014640832347	0.9240587864751323	0.9279610420625279	0.9080740064818602	0.9570647258946643	0.9356988303949451	0.9785076667751024	0.974623239769895	0.8335763180183557	0.9211706837186424	0.9393371389622561	0.921365886972853	0.9501025742836344	0.9230681138581736	0.9696773066460356	0.9591668825133698	0.37197466636507576	0.8779333254241309
12C3	0.4473982575486335	0.8331277067176956	0.0	0.44806562086266616	0.45304234095301305	0.5517951002227172	0.865978901499986	0.8474844317202895	0.8493538415701464	0.9345540270838635	0.8753209782744593	0.7527534776678411	0.9378847202503475	0.9830668098171065	0.1282063621925983	0.6392035123508804	0.9339438522744332	0.8684814518281292	0.8806116560877092	0.731289862182775	0.9313077504850219	0.9739990616202691	0.9091350236564357	0.45120301934266394
13C7	0.6115479257607916	0.9241100048766856	0.44806562086266616	0.0	0.6458290489837888	0.755191688462422	0.906416316122782	0.9021263678958921	0.8621401161693473	0.9582656359315644	0.8564304065286383	0.8904453272005017	0.8941609373486976	0.9923135918915598	0.5577898445770505	0.34813167581193527	0.9440100882723833	0.8520691592285126	0.8442039840151927	0.9270756877909411	0.8832234368252767	0.9883451068082871	0.9795300098056912	0.4985051794017919
153G	0.5135452322738386	0.804529384078197	0.45304234095301305	0.6458290489837888	0.0	0.60203580373177	0.6463110083132207	0.7896267609193525	0.8980147656518424	0.8544650281807262	0.9186754784049144	0.585157452005158	0.9671607793818241	0.9657943086470971	0.5196384794251023	0.759769635523614	0.8162881128720967	0.9190311166993126	0.9266766081337432	0.6150416785584238	0.9603819309810004	0.9587389318143364	0.7264912280701754	0.35148911584911285
167G	0.26805211374733173	0.8460580297563146	0.5517951002227172	0.755191688462422	0.60203580373177	0.0	0.816711068430346	0.8353596629729056	0.8773145817683367	0.8850280141108113	0.9170339374075194	0.6935406386742389	0.893466880969057	0.9703373597591963	0.5223056305382539	0.7529003182913407	0.8970054880541326	0.8922857102437506	0.921954730421784	0.6824077481666323	0.8702592159779029	0.9669073955571807	0.8333659560838464	0.6761963315913516
17R0	0.820067789681661	0.9015014640832347	0.865978901499986	0.906416316122782	0.6463110083132207	0.816711068430346	0.0	0.5152298043620706	0.8117446370234475	0.6152669587352919	0.7956691186813732	0.5501705772581685	0.9273171656728683	0.9636263164738006	0.8614161416141615	0.8917288360502704	0.6377397210518669	0.8448036449350919	0.7700533209690507	0.48158749225773756	0.9168231474372612	0.9566889596376146	0.8211014719146048	0.6833216045038705
18R3	0.8275874317694746	0.9240587864751323	0.8474844317202895	0.9021263678958921	0.7896267609193525	0.8353596629729056	0.5152298043620706	0.0	0.782672672335359	0.43183836259282593	0.7356502492016708	0.646406011133866	0.9165930500723136	0.9660289377524685	0.8441225601244823	0.9037020769504938	0.2567080295333381	0.8182880011589584	0.7553962575308215	0.5004424950677989	0.9042596245191468	0.9602778412377448	0.8512535367414465	0.8062565060503697
19R8	0.8711688311688311	0.9279610420625279	0.8493538415701464	0.8621401161693473	0.8980147656518424	0.8773145817683367	0.8117446370234475	0.782672672335359	0.0	0.8329145454148186	0.7731928907129145	0.7649140565538397	0.8820450800847832	0.9815291851875929	0.8470792955506885	0.847124716483313	0.8393277097275064	0.25888846611882255	0.7238111796922542	0.7724401985717101	0.8658310979557857	0.9726723999786336	0.9698465829846583	0.8946660490637972
1R0	0.8978010817449633	0.9080740064818602	0.9345540270838635	0.9582656359315644	0.8544650281807262	0.8850280141108113	0.6152669587352919	0.43183836259282593	0.8329145454148186	0.0	0.7001668388019385	0.7494349303554896	0.9806654754768155	0.9504384799362211	0.9329030723016982	0.9496464516129032	0.32620438333505636	0.8507251141552511	0.7182113591410003	0.4817514292681605	0.9714316043681913	0.9333037562851227	0.8509150702511932	0.8352009054895303
