Sample	10A7G	11C0	12C3	13C7	140G	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	240C	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
10A7G	0.0	0.8453126809908086	0.8223307147276144	0.7920430723754658	0.8513481030948439	0.7917208680000638	0.32157178543255344	0.7978377218599882	0.8780733600934045	0.7957787105373092	0.8673698248166332	0.9016176359942817	0.923785131888628	0.8765193373407035	0.912325367418121	0.8280323267305991	0.8471740806126763	0.8046981817281935	0.9127501369581288	0.8183356551667622	0.9074440984998585	0.9070819965135611	0.8982133435040283	0.8967014355859857	0.8415134586373967	0.7805944961930452
11C0	0.8453126809908086	0.0	0.6549577581360484	0.7796436059967006	0.7193139558348708	0.7291591238621444	0.8745687125679968	0.6362937816426187	0.5360087831576824	0.667157253177269	0.637252827291607	0.7817134763404591	0.7691520411592591	0.7668972509446749	0.7821204026164849	0.5632867017774855	0.6811789642691152	0.7397826551779757	0.7662344126627685	0.6918917934901335	0.7883888302136047	0.7047839567877225	0.7836304137123641	0.750162899293919	0.662459780960926	0.7191411083061873
12C3	0.8223307147276144	0.6549577581360484	0.0	0.6821844573203513	0.5784207567207377	0.6467145498673699	0.8206743580901026	0.4933429742106533	0.5801942548119627	0.6668686138783998	0.6869603478837212	0.8381265632307784	0.8327269760867542	0.8648251468513801	0.8429787820377006	0.5917933608094109	0.3682704441143956	0.6564152142819305	0.8053264716027029	0.7426244369988411	0.8525051789624364	0.7927119256003884	0.8864260312271651	0.8283586026346117	0.5895144155378462	0.6497146584053483
13C7	0.7920430723754658	0.7796436059967006	0.6821844573203513	0.0	0.7754563873063229	0.5810728712882691	0.7996997144624561	0.7676219843592597	0.7972900098688488	0.7375081634133952	0.8294487948854785	0.8547027947839921	0.8996038875563539	0.836005960484886	0.8812922915834452	0.772350395123407	0.6602597680260835	0.3380282794080763	0.8928250508405106	0.7549621909015016	0.8689922042596969	0.8749596314181268	0.8608337228572642	0.8552371126711951	0.6774309838341585	0.5846623965611111
140G	0.8513481030948439	0.7193139558348708	0.5784207567207377	0.7754563873063229	0.0	0.757886774573633	0.8708078641035681	0.6263277935161624	0.6650521074386758	0.7193870567734475	0.7439520250186504	0.8473980887149057	0.8446769599804766	0.869897877944574	0.8490331677429435	0.6462002347674667	0.6391154332253554	0.7834684782058771	0.8359314021409198	0.749918761914195	0.862820577317661	0.8059151564360825	0.8858276819766386	0.8322983979831907	0.5650663173664436	0.7600572313312675
153G	0.7917208680000638	0.7291591238621444	0.6467145498673699	0.5810728712882691	0.757886774573633	0.0	0.8265716213843656	0.6858040659690661	0.7092862009686702	0.6619375371850977	0.774195576053451	0.7996532611044388	0.8455864117384466	0.8379538832879625	0.820482265936386	0.7019794470940319	0.5859083724063415	0.5935136549995345	0.834709841974309	0.7235908234436278	0.8173762004815616	0.8146536578139382	0.8600238886424468	0.7929906529632329	0.7168598024737347	0.153174396526756
167G	0.32157178543255344	0.8745687125679968	0.8206743580901026	0.7996997144624561	0.8708078641035681	0.8265716213843656	0.0	0.8142940970245185	0.8953158747300215	0.8382032843244454	0.8835155155773895	0.9251952888589166	0.9353413994741482	0.9062092817596396	0.9244643699499367	0.8518548509436203	0.8473342246554494	0.8117687748016694	0.9257269893828507	0.8607168259590204	0.928908139109833	0.9186682193706299	0.923148472661966	0.9127856610947084	0.8816694069965493	0.8284225075216962
17R0	0.7978377218599882	0.6362937816426187	0.4933429742106533	0.7676219843592597	0.6263277935161624	0.6858040659690661	0.8142940970245185	0.0	0.558926865349647	0.666445614572056	0.5762166424297646	0.8142133615859888	0.7711944370603588	0.8267617420446843	0.7972390702950466	0.5277557378600489	0.574856016123698	0.7156624775280066	0.7527540770676462	0.7040326350921392	0.8300866987154389	0.7279956720149794	0.8352430423935366	0.7650522958815296	0.6497558877298635	0.6652836873171959
18R3	0.8780733600934045	0.5360087831576824	0.5801942548119627	0.7972900098688488	0.6650521074386758	0.7092862009686702	0.8953158747300215	0.558926865349647	0.0	0.6113211073561831	0.5926021277101371	0.7644630599957836	0.7776748963590813	0.7901603321648216	0.7969241908292674	0.5784088907585155	0.6201578961739039	0.7444651614933803	0.7364955788713876	0.6617534109865811	0.7811505656363753	0.7002798252477707	0.8139602472372581	0.7708901766222094	0.648403212494049	0.7124220131375221
19R8	0.7957787105373092	0.667157253177269	0.6668686138783998	0.7375081634133952	0.7193870567734475	0.6619375371850977	0.8382032843244454	0.666445614572056	0.6113211073561831	0.0	0.7005054749204724	0.749173166320598	0.8176545195931073	0.7683655621933055	0.80834864089193	0.5676435669446573	0.6462698139740284	0.6936463959510409	0.7892693183215138	0.38227145662949796	0.773582215836822	0.7599793664234765	0.7847080563488447	0.7280807382598807	0.6676275299383804	0.6628466837013606
