Sample	10A7G	11C0	12C3	13C7	140G	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	240C	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
10A7G	0.0	0.8349138558472655	0.7707180885305961	0.8049231648479497	0.8084321444334268	0.7515009442753819	0.3005021243723443	0.7410117617545179	0.8637711467427693	0.7757656342587907	0.8490170776779458	0.8961398338099591	0.9163964650263586	0.8801356433508857	0.9091465857377129	0.8004316198222137	0.8314201526080052	0.8343108416794953	0.9040728663333611	0.7887051690514449	0.9046546012880479	0.9044084410019902	0.8816613233232912	0.8847725730440765	0.8134750421912914	0.7341579444491371
11C0	0.8349138558472655	0.0	0.6928747116915077	0.762472903433776	0.7555972187875616	0.7319749619148203	0.8475903574219663	0.6444512286372752	0.5633798310383114	0.6556393093110968	0.6123065387109646	0.7348734328754861	0.7481017757308475	0.7341306456869092	0.7838492275071642	0.595396087053052	0.7147813610799728	0.7156043616825012	0.7559663308170935	0.6698931435779055	0.7556967456975466	0.6904895647506715	0.7520346844189961	0.743064366356538	0.6950439358107507	0.7174911569282175
12C3	0.7707180885305961	0.6928747116915077	0.0	0.6691764342269909	0.6455972124634081	0.7326382844824125	0.7183395484358323	0.4423509446901498	0.6407498082118674	0.7282080395619136	0.7343468643177016	0.8253300085759837	0.8427201647312302	0.8629182585190587	0.8717507004366553	0.6441830358080071	0.4437989354323867	0.639264988543142	0.8305051531343492	0.7568934662509987	0.8586854140914709	0.8216096783085112	0.8721894474250883	0.8505956496452773	0.6375362460206967	0.7262402859709631
13C7	0.8049231648479497	0.762472903433776	0.6691764342269909	0.0	0.7596824333843825	0.6214731671394063	0.7339397369183838	0.6930190904016755	0.79429014930564	0.7223227446849702	0.8152027381835776	0.8471426592342816	0.8826916570953451	0.8409329080598277	0.890139570166262	0.755928703689513	0.6429918634553139	0.35610975048795956	0.8706281451933663	0.7305929069965096	0.859110366048511	0.8589766712857528	0.8507376600336168	0.8656496430330876	0.6069134242595561	0.5995134811812081
140G	0.8084321444334268	0.7555972187875616	0.6455972124634081	0.7596824333843825	0.0	0.7908077729939202	0.768973996038402	0.6727524997035619	0.7363409833294796	0.7795648084310676	0.7909885485242474	0.8559778376093101	0.8615593706020129	0.8803172815073739	0.8592943771280989	0.7060267904974028	0.6970596541571582	0.7399243124465914	0.8517375894307158	0.777542853237493	0.8628910532135683	0.8384221376829472	0.8822586549839685	0.8420722957178791	0.6538185124888164	0.7945577042074915
153G	0.7515009442753819	0.7319749619148203	0.7326382844824125	0.6214731671394063	0.7908077729939202	0.0	0.7710322208011882	0.6940933427496998	0.7401351165356793	0.6754527725870239	0.7904490332191557	0.7969851275633905	0.8566035313394146	0.8155256731939969	0.8241753664117729	0.6932278346121059	0.675895027261381	0.596681479710583	0.8334297880296754	0.7147166507481696	0.8099624897242801	0.829271363933005	0.8425911515106873	0.7956320885074402	0.6986889082706391	0.21953489511260277
167G	0.3005021243723443	0.8475903574219663	0.7183395484358323	0.7339397369183838	0.768973996038402	0.7710322208011882	0.0	0.6992938204737412	0.850323232946294	0.7782162947570073	0.8479418112489446	0.89964516546949	0.9237531239118882	0.8870104044703475	0.9138434239941281	0.8029169589013063	0.7893436296640551	0.7858012332995086	0.9047340958487222	0.7908326328003953	0.9082118812291713	0.9107210155076264	0.8880083565369862	0.8905125471678176	0.7974879958463547	0.7523355690260523
17R0	0.7410117617545179	0.6444512286372752	0.4423509446901498	0.6930190904016755	0.6727524997035619	0.6940933427496998	0.6992938204737412	0.0	0.5922807788921186	0.6876947390448654	0.6052818349214301	0.8066587040907733	0.7858127831327599	0.804039373537849	0.8208058469472287	0.5769019846739143	0.5667974774133071	0.6258745181309575	0.7642331128454923	0.6949347765596924	0.8226568616822655	0.74373866274276	0.810148805494944	0.7800414407554239	0.6295263665690388	0.656332407542757
18R3	0.8637711467427693	0.5633798310383114	0.6407498082118674	0.79429014930564	0.7363409833294796	0.7401351165356793	0.850323232946294	0.5922807788921186	0.0	0.6511607618968691	0.5405043849191016	0.6991933430773148	0.7322568339849599	0.7489356884898466	0.7768473134643535	0.6147749757360949	0.6623354010502266	0.7271912854156085	0.6904403025691722	0.6723531616702388	0.7117246842207771	0.670930360673522	0.7485536023611236	0.7534079358545723	0.7054317920535885	0.7387156408225737
19R8	0.7757656342587907	0.6556393093110968	0.7282080395619136	0.7223227446849702	0.7795648084310676	0.6754527725870239	0.7782162947570073	0.6876947390448654	0.6511607618968691	0.0	0.6719945361708356	0.6573971149408465	0.7599605215045212	0.6501794269319189	0.7695429206187083	0.533631993357986	0.7069609512199053	0.7003691653705736	0.7668876209073209	0.291237931130614	0.6773847438909714	0.7111429357013128	0.7024048077663917	0.6994971171334301	0.6700994093147864	0.6586566533897777
