Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
10A7G	0.0	0.6773811104853104	0.5434709716741124	0.5772128087682472	0.6120869783194901	0.2990464159560908	0.7355231546465746	0.7390466046295705	0.7069954211344063	0.7387678507852371	0.7593556292291246	0.6434603514327994	0.6181816988067791	0.7990721710295754	0.5782693393113381	0.5805070434427729	0.7233574327076676	0.6794183805018804	0.7630477949381864	0.7411556560972506	0.613883592401257	0.7455542396651442	0.7083465533688097	0.6358500536260524
11C0	0.6773811104853104	0.0	0.7019974891801259	0.6882298208648209	0.6360336425822889	0.6601780947190483	0.7284655988505978	0.6928487219846675	0.7705200478792994	0.7407148489257759	0.803863330100058	0.6942612006270474	0.6826088939246714	0.6953679693887961	0.6878706993354565	0.6604996343545846	0.7030043298693122	0.7231337079858071	0.8139426001150185	0.7152548075062299	0.7308563207711369	0.6485742379547691	0.5408050090422831	0.6066862858989542
12C3	0.5434709716741124	0.7019974891801259	0.0	0.4460219176416501	0.620884878791173	0.5214541193730782	0.6789244309089442	0.6355255304540811	0.6326581945517614	0.6748735102990195	0.6822342884635559	0.5711662206503322	0.565896288708765	0.7760082011469044	0.1769953446574349	0.39909861561573967	0.6328526615006712	0.6281498105535969	0.6959259733372347	0.682707445786601	0.5812944660114234	0.7334010481820933	0.7403656172508174	0.6169818804817899
13C7	0.5772128087682472	0.6882298208648209	0.4460219176416501	0.0	0.6827725249724081	0.5640273551028037	0.7294477138854043	0.712513172736592	0.6909247808379325	0.727443796922446	0.6327140755203915	0.5833943934144993	0.5972984651125361	0.7464635814952503	0.4158334595506388	0.21276464351048072	0.5976036855862371	0.6860013004596932	0.6723097139006236	0.7187077152604355	0.5974623567536692	0.6907755837594373	0.709599667299489	0.6577342551617822
153G	0.6120869783194901	0.6360336425822889	0.620884878791173	0.6827725249724081	0.0	0.5754331475755954	0.6786018867647257	0.6182042128056134	0.7092916859968381	0.6431040994091497	0.72839267941634	0.6337484216380596	0.6638278968415235	0.7927233069536543	0.6613304921486908	0.6449345531125363	0.66245000686124	0.6630817290822812	0.7584948919941813	0.652013732701398	0.6880460280801469	0.7537366737267482	0.750327002017672	0.32441419781576786
167G	0.2990464159560908	0.6601780947190483	0.5214541193730782	0.5640273551028037	0.5754331475755954	0.0	0.7116220236412546	0.6897343589575519	0.6831197372402137	0.7023034315008768	0.7505283739888264	0.5817243603526124	0.5657816363295997	0.768151222205667	0.5557654842044565	0.4943150365224694	0.7064152891586369	0.6183278788629362	0.7697923621359604	0.6892720628938925	0.5931523865546351	0.7413412869002399	0.7428351216904728	0.6003742917204278
17R0	0.7355231546465746	0.7284655988505978	0.6789244309089442	0.7294477138854043	0.6786018867647257	0.7116220236412546	0.0	0.44304313101442677	0.5519150659700458	0.5213922878916597	0.7454049887558304	0.6354866495378861	0.6238083224719867	0.8623272094942896	0.6955381377580517	0.6881376249946626	0.6675959077602677	0.5503494244241618	0.7545541072958342	0.6288263451747378	0.6487080657275311	0.8073353003497341	0.7925416430800989	0.69544555223649
18R3	0.7390466046295705	0.6928487219846675	0.6355255304540811	0.712513172736592	0.6182042128056134	0.6897343589575519	0.44304313101442677	0.0	0.529906186717765	0.5110245123222205	0.6685717149021387	0.5903254687706665	0.585265111615735	0.8372187697990106	0.6780735911152654	0.6518343551703508	0.5923391231541615	0.5165406277398586	0.6813333004570754	0.5956529952642396	0.6103069971648044	0.7440436693250536	0.7302863893904411	0.6497339153927626
19R8	0.7069954211344063	0.7705200478792994	0.6326581945517614	0.6909247808379325	0.7092916859968381	0.6831197372402137	0.5519150659700458	0.529906186717765	0.0	0.6121585253492509	0.6058835202701617	0.6559968712279851	0.596008728377144	0.8458968844628244	0.6713529626610721	0.6818312008063763	0.6090789077407843	0.31284233958025226	0.5923890337120966	0.6847061576388437	0.624233084415295	0.7734915845910623	0.785989547653308	0.7446490387501419
1R0	0.7387678507852371	0.7407148489257759	0.6748735102990195	0.727443796922446	0.6431040994091497	0.7023034315008768	0.5213922878916597	0.5110245123222205	0.6121585253492509	0.0	0.6709291926881413	0.5962338063031052	0.6224669121576203	0.8221214281982168	0.7147951876778726	0.6863938576861164	0.6100221273552225	0.5794819201376252	0.6709984801760728	0.626034674463617	0.6441481933667966	0.7372427025370178	0.7561015785274067	0.6687944611250944
