Sample	10A7G	11C0	12C3	13C7	153G	167G	17R0	18R3	19R8	1R0	20R10	21A0	22A6	23A15	253C	267C	2R3	3R8	4R10	5A0	6A6	7A15	8A0G	9A3G
10A7G	0.0	0.6695079821542061	0.5391551765730971	0.5945561644346858	0.6001548740487852	0.3298527790388483	0.7398517554662266	0.7265780130731481	0.7079889079813436	0.7444724260009487	0.746609023581173	0.6677754752316898	0.6186851329254704	0.782265679645605	0.5612964673285614	0.5780174704781272	0.7301948978411985	0.673799990351681	0.7916900323311564	0.7587590816890246	0.6205164956157883	0.7473093076689997	0.6867467419782912	0.6507480596549469
11C0	0.6695079821542061	0.0	0.7091880325175647	0.684377035579356	0.6480511843931087	0.6651603576984414	0.7345557349973816	0.6852543642645931	0.7462729007166791	0.7129382395862335	0.7907052391093394	0.6699099635700563	0.6799669694855368	0.6574746184442334	0.6913065427495727	0.6675756578037938	0.692862708549777	0.709620823889264	0.8224226417292232	0.7217540942964228	0.7124881921579549	0.6165953992478724	0.5061568690125879	0.6312755198904733
12C3	0.5391551765730971	0.7091880325175647	0.0	0.43953743332151873	0.6217592834310839	0.5392314134776445	0.7156454866364091	0.6532259432838305	0.6417760412850205	0.6897126860267656	0.6497956333796197	0.5868932577054088	0.582980970364884	0.7629130671977372	0.19298073525044704	0.40814904142660924	0.6423162084080388	0.6284587802371105	0.7122549359061263	0.7169578827639169	0.5800929435288144	0.7515258355241667	0.7349869094533849	0.6334427102934145
13C7	0.5945561644346858	0.684377035579356	0.43953743332151873	0.0	0.6759507934815042	0.5495952930387412	0.75680658713564	0.7205902562640712	0.7236480781684193	0.7380768400754616	0.6100991642509461	0.6120486189307454	0.6282174471403018	0.7070958584858548	0.39461511040281827	0.1951960132996229	0.6157626907340737	0.7138475795602333	0.6953421827025206	0.7444509203064731	0.6287513325714988	0.6877180523022982	0.6839771055974723	0.654913489120806
153G	0.6001548740487852	0.6480511843931087	0.6217592834310839	0.6759507934815042	0.0	0.5722178398949361	0.6791867934946123	0.6082958544350575	0.6929244220941826	0.6402885001902586	0.7081567563157446	0.6197361356551221	0.6691406179115852	0.7625289200192711	0.6479492580027973	0.6534314231734208	0.6641202887887238	0.650636240106854	0.7691846131771518	0.6542070760350146	0.6639204029288148	0.7532976618189053	0.7415761827164814	0.2605005964605076
167G	0.3298527790388483	0.6651603576984414	0.5392314134776445	0.5495952930387412	0.5722178398949361	0.0	0.7418087516122708	0.7032715905317721	0.6781771023651381	0.7316476273918663	0.7219912931799171	0.6501603209730739	0.5926771855408208	0.7606033925157216	0.5700088447742125	0.4850534268132897	0.7104937405354005	0.6223723355163033	0.7839529301959917	0.7330898600028347	0.6254253200145042	0.7510142557465784	0.7212851241150182	0.6037965101476684
17R0	0.7398517554662266	0.7345557349973816	0.7156454866364091	0.75680658713564	0.6791867934946123	0.7418087516122708	0.0	0.41540058900039095	0.5514922275497415	0.5384863179155294	0.7569240817909452	0.63767687987995	0.6296935361593297	0.8478859816057911	0.7248312057058425	0.7217168847846328	0.6854899614646933	0.5685463942905411	0.7806096114228196	0.6470164035669094	0.6380136323578691	0.8092630725771598	0.7840227513522555	0.7039601992262812
18R3	0.7265780130731481	0.6852543642645931	0.6532259432838305	0.7205902562640712	0.6082958544350575	0.7032715905317721	0.41540058900039095	0.0	0.5257083813586474	0.518559010417646	0.6780625827272856	0.5864602347897437	0.5838941540949124	0.818338152501675	0.6865312614743783	0.6663046167911482	0.6026658452070213	0.5413543123226674	0.7225013805347565	0.6199368173495688	0.5615864650364144	0.7739634395116526	0.7434964780544475	0.6411346391006456
19R8	0.7079889079813436	0.7462729007166791	0.6417760412850205	0.7236480781684193	0.6929244220941826	0.6781771023651381	0.5514922275497415	0.5257083813586474	0.0	0.6367247349757763	0.6278073983202789	0.6336143203097279	0.5836087368560834	0.8294138178289615	0.6692013660021446	0.6802958586340003	0.6536683838205826	0.31050226582673096	0.6449393809931045	0.6948084609030019	0.6133346632786546	0.8021867117900487	0.8025233942739728	0.7298077335429918
1R0	0.7444724260009487	0.7129382395862335	0.6897126860267656	0.7380768400754616	0.6402885001902586	0.7316476273918663	0.5384863179155294	0.518559010417646	0.6367247349757763	0.0	0.68859653440169	0.6021112246344117	0.6245536170647764	0.8056615040042315	0.7296032721693688	0.6878453062042814	0.6164922098441602	0.622600505543144	0.6954601131503434	0.6251315414757312	0.6556402612072176	0.7638852683128735	0.7509324423868193	0.6466351115761668
