qacc	Entry	qlen	slen	length	score	bitscore	evalue	pident	nident	mismatch	positive	gaps	gapopen	Tax_ID	stitle
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_026055	429	1486	430	343	634.0	0.0	93.256	401	26	401	3	3	89403	Colwellia psychrotropica strain ACAM 179 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_037047	429	1504	431	342	632.0	0.0	93.271	402	25	402	4	4	28229	Colwellia psychrerythraea strain ATCC 27364 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_024805	429	1474	430	339	627.0	1.969999999999999e-179	93.023	400	28	400	2	2	211668	Colwellia piezophila strain Y223G 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_133879	429	1465	429	336	621.0	9.179999999999997e-178	92.774	398	31	398	0	0	1144278	Thalassotalea eurytherma strain Za6a-12 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_024635	429	1514	431	336	621.0	9.179999999999997e-178	92.807	400	27	400	4	4	77524	Colwellia maris strain ABE-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_114405	429	1501	431	333	616.0	4.269999999999998e-176	92.575	399	28	399	4	4	28229	Colwellia psychrerythraea strain ATCC 27364 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_025957	429	1467	431	331	612.0	5.529999999999998e-175	92.34299999999999	398	29	398	4	4	37450	Colwellia rossensis strain S51-W 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_157655	429	1464	433	330	610.0	1.9899999999999995e-174	92.37899999999999	400	25	400	8	8	1763536	Thalassotalea crassostreae strain LPB0090 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_159306	429	1411	433	327	604.0	9.249999999999997e-173	92.148	399	26	399	8	8	1776033	Thalassotalea coralli strain Eup a-8 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_149818	429	1317	430	324	599.0	4.299999999999998e-171	91.86	395	33	395	2	2	1806670	Neptuniibacter marinus strain ATR 1.1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_037047	429	1504	429	396	732.0	0.0	97.436	418	11	418	0	0	28229	Colwellia psychrerythraea strain ATCC 27364 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_114405	429	1501	429	387	715.0	0.0	96.73700000000001	415	14	415	0	0	28229	Colwellia psychrerythraea strain ATCC 27364 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_025957	429	1467	431	385	712.0	0.0	96.52	416	11	416	4	4	37450	Colwellia rossensis strain S51-W 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_024635	429	1514	431	372	688.0	0.0	95.59200000000001	412	15	412	4	4	77524	Colwellia maris strain ABE-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_159353	429	1510	430	369	682.0	0.0	95.34899999999999	410	18	410	2	2	1982103	Colwellia echini strain A3 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_156847	429	1423	433	369	682.0	0.0	95.381	413	12	413	8	8	1513592	Colwellia marinimaniae strain MTCD1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_024805	429	1474	429	369	682.0	0.0	95.338	409	20	409	0	0	211668	Colwellia piezophila strain Y223G 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_026055	429	1486	430	367	678.0	0.0	95.116	409	18	409	3	3	89403	Colwellia psychrotropica strain ACAM 179 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_116385	429	1507	429	363	671.0	0.0	94.87200000000001	407	22	407	0	0	517723	Colwellia asteriadis strain KMD 002 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_133879	429	1465	429	351	649.0	0.0	93.939	403	26	403	0	0	1144278	Thalassotalea eurytherma strain Za6a-12 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_044837	429	1462	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1117315	Pseudoalteromonas haloplanktis ATCC 14393 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_114188	429	1461	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NBRC 103036 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_025654	429	1506	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	166934	Pseudoalteromonas paragorgicola strain KMM 3548 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_025509	429	1505	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1312369	Pseudoalteromonas agarivorans DSM 14585 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_114436	429	1458	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	77608	Pseudoalteromonas distincta strain KMM 638 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_028722	429	1494	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	81037	Pseudoalteromonas elyakovii strain KMM 162 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_026222	429	1436	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NCIMB 8614 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_114049	429	1461	426	421	778.0	0.0	99.531	424	2	424	0	0	28107	Pseudoalteromonas espejiana strain NBRC 102222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_114191	429	1393	426	420	776.0	0.0	99.531	424	2	424	0	0	43660	Pseudoalteromonas undina strain NBRC 103039 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_114187	429	1459	426	420	776.0	0.0	99.531	424	2	424	0	0	1315271	Pseudoalteromonas tetraodonis GFC strain NBRC 103034 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_044837	429	1462	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1117315	Pseudoalteromonas haloplanktis ATCC 14393 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_114188	429	1461	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NBRC 103036 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_025654	429	1506	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	166934	Pseudoalteromonas paragorgicola strain KMM 3548 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_025509	429	1505	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1312369	Pseudoalteromonas agarivorans DSM 14585 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_114436	429	1458	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	77608	Pseudoalteromonas distincta strain KMM 638 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_028722	429	1494	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	81037	Pseudoalteromonas elyakovii strain KMM 162 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_026222	429	1436	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NCIMB 8614 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_114049	429	1461	426	421	778.0	0.0	99.531	424	2	424	0	0	28107	Pseudoalteromonas espejiana strain NBRC 102222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_114191	429	1393	426	420	776.0	0.0	99.531	424	2	424	0	0	43660	Pseudoalteromonas undina strain NBRC 103039 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_114187	429	1459	426	420	776.0	0.0	99.531	424	2	424	0	0	1315271	Pseudoalteromonas tetraodonis GFC strain NBRC 103034 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_125464	404	1451	404	220	407.0	2.63e-113	85.149	344	52	344	8	8	1297424	Anaerobacterium chartisolvens strain T-1-35 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_113324	404	1473	400	216	399.0	4.389999999999999e-111	84.75	339	59	339	2	2	99675	Clostridium putrefaciens strain JCM 1431 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_024995	404	1487	400	216	399.0	4.389999999999999e-111	84.75	339	59	339	2	2	99675	Clostridium putrefaciens strain DSM 1291 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_125455	404	1443	402	213	394.0	2.0399999999999996e-109	84.32799999999999	339	63	339	0	0	1082276	Hydrogenispora ethanolica strain LX-B 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_119282	404	1480	400	213	394.0	2.0399999999999996e-109	84.5	338	60	338	2	2	99675	Clostridium putrefaciens strain DSM 1291 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_041746	404	1481	400	213	394.0	2.0399999999999996e-109	84.5	338	60	338	2	2	37659	Clostridium algidicarnis strain NCFB 2931 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_117690	404	1499	402	210	388.0	9.509999999999997e-108	84.32799999999999	339	57	339	6	6	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_117689	404	1518	402	210	388.0	9.509999999999997e-108	84.32799999999999	339	57	339	6	6	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_117688	404	1500	402	210	388.0	9.509999999999997e-108	84.32799999999999	339	57	339	6	6	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_117687	404	1500	402	210	388.0	9.509999999999997e-108	84.32799999999999	339	57	339	6	6	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_044837	429	1462	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	1117315	Pseudoalteromonas haloplanktis ATCC 14393 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_114188	429	1461	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	28109	Pseudoalteromonas nigrifaciens strain NBRC 103036 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_025654	429	1506	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	166934	Pseudoalteromonas paragorgicola strain KMM 3548 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_025509	429	1505	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	1312369	Pseudoalteromonas agarivorans DSM 14585 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_114436	429	1458	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	77608	Pseudoalteromonas distincta strain KMM 638 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_028722	429	1494	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	81037	Pseudoalteromonas elyakovii strain KMM 162 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_026222	429	1436	429	426	787.0	0.0	99.76700000000001	428	1	428	0	0	28109	Pseudoalteromonas nigrifaciens strain NCIMB 8614 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_114191	429	1393	426	423	782.0	0.0	99.765	425	1	425	0	0	43660	Pseudoalteromonas undina strain NBRC 103039 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_114187	429	1459	426	423	782.0	0.0	99.765	425	1	425	0	0	1315271	Pseudoalteromonas tetraodonis GFC strain NBRC 103034 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_114186	429	1461	426	423	782.0	0.0	99.765	425	1	425	0	0	288	Pseudoalteromonas atlantica strain NBRC 103033 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_108636	404	1497	407	140	259.0	7.78e-69	78.378	319	82	319	6	6	682400	Natranaerovirga pectinivora strain AP3 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_148837	404	1520	408	137	254.0	3.62e-67	78.186	319	81	319	8	8	1675854	Abyssivirga alkaniphila strain L81 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_117645	404	1444	408	137	254.0	3.62e-67	78.186	319	81	319	8	8	1185412	Vallitalea guaymasensis strain Ra1766G1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_118670	404	1481	404	135	250.0	4.6799999999999993e-66	77.723	314	84	314	6	6	39496	Eubacterium ventriosum strain ATCC 27560 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_137405	404	1402	407	134	248.0	1.6799999999999998e-65	77.887	317	84	317	6	6	1619234	Anaerobium acetethylicum strain GluBS11 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_025390	404	1487	407	134	248.0	1.6799999999999998e-65	77.887	317	84	317	6	6	115544	Parasporobacterium paucivorans strain SYR1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_117690	404	1499	406	131	243.0	7.839999999999998e-64	77.586	315	87	315	4	4	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_117689	404	1518	406	131	243.0	7.839999999999998e-64	77.586	315	87	315	4	4	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_117688	404	1500	406	131	243.0	7.839999999999998e-64	77.586	315	87	315	4	4	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_117687	404	1500	406	131	243.0	7.839999999999998e-64	77.586	315	87	315	4	4	36849	Oxobacter pfennigii strain DSM 3222 16S ribosomal RNA, partial sequence
