qacc	Entry	Tax_ID
M01323:399:000000000-B29GY:1:1101:13637:1941	NR_026055.1	89403
M01323:399:000000000-B29GY:1:1101:13636:1959	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:17373:2002	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:17360:2018	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:9875:2025	NR_125464.1	1297424
M01323:399:000000000-B29GY:1:1101:17375:2063	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:15503:2113	NR_108636.1	682400
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_043462.1	326537
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_043462.1	326537
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_024805.1	211668
M01323:399:000000000-B29GY:1:1101:15646:2388	NR_153748.1	1888912
M01323:399:000000000-B29GY:1:1101:11129:2494	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:15077:2506	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:24532:2523	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:24517:2534	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:24028:2582	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:10997:2630	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:19081:2652	NR_118478.1	29536
M01323:399:000000000-B29GY:1:1101:8067:2658	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:14206:2754	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:11139:2782	NR_108534.1	651666
M01323:399:000000000-B29GY:1:1101:24258:2793	NR_044671.2	2118
M01323:399:000000000-B29GY:1:1101:15669:2802	NR_113943.1	308113
M01323:399:000000000-B29GY:1:1101:24251:2810	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:23021:2870	NR_074186.1	648757
M01323:399:000000000-B29GY:1:1101:23189:2932	NR_153748.1	1888912
M01323:399:000000000-B29GY:1:1101:19379:3026	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:9126:3028	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:24017:3142	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:15692:3150	NR_043463.1	326544
M01323:399:000000000-B29GY:1:1101:21447:3155	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:14529:3159	NR_159350.1	2021220
M01323:399:000000000-B29GY:1:1101:8140:3175	NR_153748.1	1888912
M01323:399:000000000-B29GY:1:1101:11851:3188	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:24377:3241	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:18792:3244	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:24362:3255	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:14285:3279	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:16352:3303	NR_041633.1	1331058
M01323:399:000000000-B29GY:1:1101:19685:3329	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:5871:3337	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8680:3433	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:15270:3489	NR_149185.1	1735581
M01323:399:000000000-B29GY:1:1101:5814:3512	NR_043888.1	999550
M01323:399:000000000-B29GY:1:1101:19046:3526	NR_117782.1	416213
M01323:399:000000000-B29GY:1:1101:21728:3554	NR_112998.1	676205
M01323:399:000000000-B29GY:1:1101:8254:3584	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8669:3590	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:23166:3602	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:25228:3615	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:24671:3624	NR_134206.1	1342301
M01323:399:000000000-B29GY:1:1101:25230:3635	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:16537:3688	NR_145659.1	1323422
M01323:399:000000000-B29GY:1:1101:24412:3696	NR_117719.1	1458253
M01323:399:000000000-B29GY:1:1101:17333:3709	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:6418:3727	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:23315:3771	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:23297:3776	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:22373:3821	NR_102447.1	292564
M01323:399:000000000-B29GY:1:1101:19537:3833	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:18985:3861	NR_044415.1	472181
M01323:399:000000000-B29GY:1:1101:14336:3865	NR_043959.1	394751
M01323:399:000000000-B29GY:1:1101:11245:3932	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:14531:3943	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:14536:3960	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:19285:3965	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:10457:3988	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:18953:4010	NR_126306.1	1470434
M01323:399:000000000-B29GY:1:1101:18871:4011	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:9791:4032	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:14697:4069	NR_115013.1	70997
M01323:399:000000000-B29GY:1:1101:11608:4128	NR_149818.1	1806670
M01323:399:000000000-B29GY:1:1101:19778:4212	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:22501:4223	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:5687:4232	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:17442:4236	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:23215:4282	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:8754:4296	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:25960:4328	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:6342:4340	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:10146:4404	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:21958:4435	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:17111:4441	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8086:4459	NR_074186.1	648757
M01323:399:000000000-B29GY:1:1101:6355:4467	NR_156912.1	1450156
M01323:399:000000000-B29GY:1:1101:15963:4488	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:18543:4601	NR_144601.1	1641715
M01323:399:000000000-B29GY:1:1101:5594:4612	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:7857:4627	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:11777:4773	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:20421:4780	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:23643:4886	NR_114982.1	136468
M01323:399:000000000-B29GY:1:1101:22440:4903	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:25565:4919	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:11106:4926	NR_146678.1	1758178
M01323:399:000000000-B29GY:1:1101:13995:4962	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:24856:4963	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:13789:5046	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:7189:5065	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:16380:5108	NR_041568.1	418853
M01323:399:000000000-B29GY:1:1101:7108:5126	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:23212:5171	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:4885:5192	NR_149819.1	1806669
M01323:399:000000000-B29GY:1:1101:19603:5210	NR_042358.1	302401
M01323:399:000000000-B29GY:1:1101:24202:5244	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:18811:5266	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:12067:5269	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:20003:5279	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:23268:5311	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:16417:5322	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:19831:5346	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:21498:5346	NR_159134.1	1834927
M01323:399:000000000-B29GY:1:1101:18444:5348	NR_036866.1	56804
M01323:399:000000000-B29GY:1:1101:10434:5383	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:7450:5420	NR_043959.1	394751
M01323:399:000000000-B29GY:1:1101:14497:5421	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:7434:5428	NR_043959.1	394751
M01323:399:000000000-B29GY:1:1101:4176:5449	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:4175:5470	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:19116:5484	NR_149819.1	1806669
M01323:399:000000000-B29GY:1:1101:19507:5553	NR_109668.1	29497
M01323:399:000000000-B29GY:1:1101:20279:5609	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:20025:5637	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:21294:5641	NR_042641.1	450804
M01323:399:000000000-B29GY:1:1101:20920:5643	NR_113943.1	308113
M01323:399:000000000-B29GY:1:1101:25411:5647	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:13967:5647	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:25779:5691	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:9992:5717	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:5565:5729	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:8714:5751	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:16984:5758	NR_153748.1	1888912
M01323:399:000000000-B29GY:1:1101:8140:5825	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8316:5847	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:10322:5851	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:14012:5851	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:16485:5867	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:21925:5873	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:11040:5898	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:5953:5902	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:5942:5919	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:7581:5937	NR_113657.1	81447
M01323:399:000000000-B29GY:1:1101:25032:6012	NR_043463.1	326544
M01323:399:000000000-B29GY:1:1101:15968:6019	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:18852:6022	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:18562:6038	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:14378:6093	NR_025957.1	37450
M01323:399:000000000-B29GY:1:1101:5094:6117	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:12706:6173	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:19060:6194	NR_074566.1	485918
M01323:399:000000000-B29GY:1:1101:16902:6207	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:22047:6233	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:3946:6246	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:7660:6306	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:14701:6311	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:14686:6320	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:14581:6360	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:3725:6379	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:21519:6380	NR_134204.1	1342299
M01323:399:000000000-B29GY:1:1101:27884:6435	NR_159134.1	1834927
M01323:399:000000000-B29GY:1:1101:27866:6441	NR_159134.1	1834927
M01323:399:000000000-B29GY:1:1101:19551:6493	NR_134204.1	1342299
M01323:399:000000000-B29GY:1:1101:5833:6512	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:5817:6528	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:12147:6536	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:12164:6540	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:15152:6549	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:6676:6562	NR_075007.1	404380
M01323:399:000000000-B29GY:1:1101:14972:6565	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:10446:6588	NR_043462.1	326537
M01323:399:000000000-B29GY:1:1101:9664:6591	NR_041661.1	485447
M01323:399:000000000-B29GY:1:1101:11741:6611	NR_114982.1	136468
M01323:399:000000000-B29GY:1:1101:11627:6636	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:25820:6664	NR_126306.1	1470434
M01323:399:000000000-B29GY:1:1101:6147:6671	NR_108636.1	682400
M01323:399:000000000-B29GY:1:1101:5059:6701	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:15064:6735	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:17750:6756	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:26724:6848	NR_044225.1	433840
M01323:399:000000000-B29GY:1:1101:8797:6851	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:26710:6860	NR_132291.1	1215923
M01323:399:000000000-B29GY:1:1101:4019:6901	NR_043462.1	326537
M01323:399:000000000-B29GY:1:1101:22504:6915	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:4536:6933	NR_126306.1	1470434
M01323:399:000000000-B29GY:1:1101:12020:6955	NR_037047.1	28229
